Row Labels,Sum of Personal Loan,Average of Personal Loan2,,Row Labels,Sum of CreditCard,
High Income,439, 0.36 ,,Middle Age,729,
Low Income,0, -   ,,Senior,596,
Middle Income,41, 0.02 ,,Young,145,
Grand Total,480, 0.10 ,,Grand Total,1470,
,,,,,,
Row Labels,Sum of Personal Loan,Average of Personal Loan2,,Row Labels,Sum of Personal Loan,Average of Personal Loan2
graduate,182, 0.13 ,,No,340, 0.07 
professional,205, 0.14 ,,Yes,140, 0.46 
undergraduate,93, 0.04 ,,Grand Total,480, 0.10 
Grand Total,480, 0.10 ,,,,
